Examinee's ID,Which combination of the TOD did you administer?,Examinee's 5-digit zip code,Examinee's age in years,Examinee grade in school,Examinee's gender,PEL,"Is theˇexaminee of Hispanic, Latino, or Spanish origin?",Examinee's race/ethnicity
226053,TOD-S + TOD-E,46037,5,K,Male,Bachelors degree or higher,No,White
305018,TOD-S + TOD,92128,9,4,Male,Bachelors degree or higher,No,White
305020,TOD-S + TOD-E,92128,6,1,Male,Bachelors degree or higher,No,White
305019,TOD-S + TOD-E,92128,7,2,Female,Bachelors degree or higher,No,White
226054,TOD-S + TOD-E,46060,5,K,Female,Bachelors degree or higher,No,White
226056,TOD-S + TOD-E,46037,6,1,Female,Bachelors degree or higher,No,White
206005,TOD-S + TOD-E,1527,7,1,Male,Bachelors degree or higher,No,White
213012,TOD-S + TOD,91776,31,Not Applicable / NOT IN SCHOOL,Male,Some College or associate's degree,Yes,Black/African American
213004,TOD-S + TOD-E,91773,7,1,Male,Bachelors degree or higher,No,Other / Multiracial
213005,TOD-S + TOD,91773,9,3,Male,Bachelors degree or higher,No,Other / Multiracial
213009,TOD-S + TOD-E,90277,5,K,Male,Bachelors degree or higher,Yes,American Indian/Alaska Native
213007,TOD-S + TOD,90277,37,Not Applicable / NOT IN SCHOOL,Male,Bachelors degree or higher,Yes,American Indian/Alaska Native
213003,TOD-S + TOD-E,91773,6,K,Female,Bachelors degree or higher,No,Other / Multiracial
213008,TOD-S + TOD,90245,8,3,Female,Some College or associate's degree,Yes,Other / Multiracial
258024,TOD-S + TOD,94063,24,Not Applicable / NOT IN SCHOOL,Male,Some College or associate's degree,Yes,Other / Multiracial
305012,TOD-S + TOD,92127,9,4,Male,Bachelors degree or higher,No,White
305016,TOD-S + TOD,92129,16,11,Male,Bachelors degree or higher,No,White
305017,TOD-S + TOD,92129,12,6,Male,Bachelors degree or higher,No,White
246011,TOD-S + TOD,85711,13,7,Male,Did not complete high school,Yes,White
246010,TOD-S + TOD,85711,15,10,Male,Did not complete high school,Yes,White
214050,TOD-S + TOD,76643,67,Not Applicable / NOT IN SCHOOL,Male,Bachelors degree or higher,No,White
214049,TOD-S + TOD,76643,67,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
258023,TOD-S + TOD,94301,19,College - Freshman,Female,HS_grad,No,White
213010,TOD-S + TOD-E,90731,6,1,Female,Bachelors degree or higher,No,White
213011,TOD-S + TOD,91001,25,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,Black/African American
305013,TOD-S + TOD,92071,8,3,Female,Bachelors degree or higher,No,White
219009,TOD-S + TOD,33415,39,Not Applicable / NOT IN SCHOOL,Male,Some College or associate's degree,Yes,White
219010,TOD-S + TOD,33415,39,Not Applicable / NOT IN SCHOOL,Female,Some College or associate's degree,Yes,White
219006,TOD-S + TOD,33415,8,3,Male,Some College or associate's degree,Yes,White
269001,TOD-S + TOD-E,27612,7,2,Male,Bachelors degree or higher,No,White
205025,TOD-S + TOD,20878,46,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
205043,TOD-S + TOD,22207,15,10,Male,Bachelors degree or higher,No,White
207022,TOD-S + TOD-E,60628,6,K,Female,HS_grad,No,Black/African American
207021,TOD-S + TOD,60643,14,8,Male,HS_grad,No,Black/African American
207020,TOD-S + TOD,60623,12,7,Female,Did not complete high school,Yes,White
255012,TOD-S + TOD,29461,8,3,Female,Some College or associate's degree,No,Black/African American
248028,TOD-S + TOD,89166,21,College - Junior,Male,HS_grad,No,White
219008,TOD-S + TOD,33415,11,6,Male,Some College or associate's degree,Yes,White
207019,TOD-S + TOD,60643,12,7,Male,Did not complete high school,No,Black/African American
207018,TOD-S + TOD,60643,13,7,Female,HS_grad,No,Black/African American
207017,TOD-S + TOD,60643,13,7,Male,Some College or associate's degree,No,Black/African American
256008,TOD-S + TOD,38401,14,8,Male,Some College or associate's degree,No,White
256007,TOD-S + TOD,38401,11,6,Female,HS_grad,No,White
256030,TOD-S + TOD,38401,11,6,Female,Bachelors degree or higher,No,White
256019,TOD-S + TOD,38401,12,6,Female,Bachelors degree or higher,No,White
256018,TOD-S + TOD,38401,10,4,Male,Bachelors degree or higher,No,White
256017,TOD-S + TOD,38401,14,8,Female,Bachelors degree or higher,No,White
256012,TOD-S + TOD,38401,13,7,Female,Bachelors degree or higher,No,White
256011,TOD-S + TOD,38401,10,4,Male,Bachelors degree or higher,No,White
256010,TOD-S + TOD-E,38401,6,1,Female,Bachelors degree or higher,No,White
256009,TOD-S + TOD,38401,8,2,Female,Bachelors degree or higher,No,White
256005,TOD-S + TOD,38401,13,7,Male,HS_grad,No,White
256004,TOD-S + TOD,38401,11,6,Female,Bachelors degree or higher,No,White
305007,TOD-S + TOD,92129,15,10,Female,Bachelors degree or higher,No,White
305009,TOD-S + TOD,92162,11,6,Female,Some College or associate's degree,No,White
305008,TOD-S + TOD,92162,13,9,Female,Some College or associate's degree,No,White
301007,TOD-S + TOD,24060,18,College - Sophomore,Female,Bachelors degree or higher,No,White
258022,TOD-S + TOD,94306,56,Not Applicable / NOT IN SCHOOL,Male,Some College or associate's degree,No,White
261003,TOD-S + TOD,95955,6,1,Female,Some College or associate's degree,Yes,White
232031,TOD-S + TOD,91390,20,College - Junior,Female,Bachelors degree or higher,Yes,White
211035,TOD-S + TOD,64064,11,6,Male,Bachelors degree or higher,No,White
244045,TOD-S + TOD,7305,13,7,Female,Did not complete high school,No,Black/African American
244043,TOD-S + TOD,7305,13,7,Male,HS_grad,No,Black/African American
244042,TOD-S + TOD,7305,13,7,Male,Did not complete high school,Yes,Other / Multiracial
244040,TOD-S + TOD,7305,12,7,Male,HS_grad,Yes,White
244039,TOD-S + TOD,7305,12,6,Male,HS_grad,Yes,White
244036,TOD-S + TOD,7305,13,6,Male,HS_grad,Yes,White
255014,TOD-S + TOD,29486,8,3,Male,HS_grad,No,Other / Multiracial
223019,TOD-S + TOD,78543,15,10,Female,HS_grad,Yes,White
223017,TOD-S + TOD,78543,13,9,Female,HS_grad,Yes,White
227021,TOD-S + TOD,49301,13,7,Male,Bachelors degree or higher,No,White
223028,TOD-S + TOD,78543,13,8,Female,HS_grad,Yes,White
223010,TOD-S + TOD,78543,12,7,Female,HS_grad,Yes,White
227016,TOD-S + TOD,49301,16,10,Male,Bachelors degree or higher,No,White
227008,TOD-S + TOD,49301,11,5,Female,Bachelors degree or higher,No,White
205038,TOD-S + TOD,20854,16,12,Male,Bachelors degree or higher,No,Asian
257033,TOD-S + TOD,90293,6,3,Male,Bachelors degree or higher,No,Black/African American
257032,TOD-S + TOD,90293,6,3,Male,Some College or associate's degree,No,Black/African American
257024,TOD-S + TOD,90293,9,3,Female,HS_grad,Yes,Other / Multiracial
257023,TOD-S + TOD,90293,9,3,Male,Some College or associate's degree,Yes,Other / Multiracial
257031,TOD-S + TOD-E,90293,6,K,Female,Bachelors degree or higher,No,Black/African American
257012,TOD-S + TOD-E,90293,8,2,Male,HS_grad,Yes,Other / Multiracial
257005,TOD-S + TOD-E,90293,7,1,Female,Some College or associate's degree,Yes,Other / Multiracial
257004,TOD-S + TOD-E,90293,7,1,Female,Some College or associate's degree,Yes,Other / Multiracial
257003,TOD-S + TOD-E,90293,6,1,Female,Some College or associate's degree,Yes,Other / Multiracial
261049,TOD-S + TOD,95955,12,7,Female,HS_grad,No,Native Hawaiian/Pacific Islander
259038,TOD-S + TOD,30350,12,5,Male,HS_grad,Yes,White
212047,TOD-S + TOD,60636,65,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
259037,TOD-S + TOD,30350,6,1,Male,HS_grad,Yes,White
205027,TOD-S + TOD,20910,11,6,Male,Bachelors degree or higher,No,Black/African American
244035,TOD-S + TOD,7305,13,6,Female,HS_grad,Yes,White
244034,TOD-S + TOD,7305,13,6,Female,HS_grad,Yes,White
244033,TOD-S + TOD,7305,11,5,Male,Did not complete high school,No,Black/African American
244032,TOD-S + TOD,7305,11,5,Female,HS_grad,Yes,White
244031,TOD-S + TOD,7305,11,5,Male,HS_grad,No,Black/African American
255013,TOD-S + TOD,29461,11,6,Male,Some College or associate's degree,No,Black/African American
244030,TOD-S + TOD,7305,11,5,Male,HS_grad,No,Black/African American
244029,TOD-S + TOD,7305,11,5,Male,Did not complete high school,No,Black/African American
244027,TOD-S + TOD,7305,11,5,Female,Did not complete high school,No,Black/African American
244026,TOD-S + TOD,7305,10,5,Male,Did not complete high school,Yes,White
244025,TOD-S + TOD,7305,10,5,Male,Did not complete high school,No,Black/African American
244023,TOD-S + TOD,7305,9,4,Male,Did not complete high school,Yes,White
244022,TOD-S + TOD,7305,9,4,Male,HS_grad,Yes,White
244021,TOD-S + TOD,7305,9,4,Male,HS_grad,Yes,White
244020,TOD-S + TOD,7305,9,4,Female,Did not complete high school,Yes,White
244019,TOD-S + TOD,7305,9,4,Female,Did not complete high school,Yes,White
244018,TOD-S + TOD,7305,9,4,Male,HS_grad,No,Black/African American
223033,TOD-S + TOD,78506,9,4,Female,Some College or associate's degree,Yes,White
223029,TOD-S + TOD,78506,8,3,Female,Some College or associate's degree,Yes,White
301006,TOD-S + TOD,24060,20,College - Junior,Male,Bachelors degree or higher,Yes,White
212046,TOD-S + TOD,60652,63,Not Applicable / NOT IN SCHOOL,Female,HS_grad,Yes,Black/African American
261048,TOD-S + TOD,95988,12,7,Female,Some College or associate's degree,Yes,White
261047,TOD-S + TOD,95988,13,8,Female,HS_grad,No,White
207016,TOD-S + TOD,60707,13,7,Female,Did not complete high school,Yes,White
207015,TOD-S + TOD,60619,13,7,Male,HS_grad,No,Black/African American
205036,TOD-S + TOD-E,20833,7,2,Male,Bachelors degree or higher,No,White
255011,TOD-S + TOD,29445,18,Not Applicable / NOT IN SCHOOL,Male,HS_grad,No,Black/African American
259036,TOD-S + TOD,30311,6,1,Female,Bachelors degree or higher,No,Black/African American
259035,TOD-S + TOD,30311,18,College - Freshman,Male,HS_grad,No,Black/African American
259034,TOD-S + TOD,30039,9,4,Female,Bachelors degree or higher,No,Black/African American
232048,TOD-S + TOD,93955,21,College - Junior,Female,Some College or associate's degree,No,White
260026,TOD-S + TOD,19701,24,College - Senior,Female,Some College or associate's degree,No,White
260025,TOD-S + TOD,19701,22,College - Junior,Female,Some College or associate's degree,No,White
260024,TOD-S + TOD,19701,23,College - Senior,Female,Some College or associate's degree,No,White
260023,TOD-S + TOD,19701,21,College - Sophomore,Female,Some College or associate's degree,No,Black/African American
260022,TOD-S + TOD,19701,20,College - Sophomore,Female,Some College or associate's degree,Yes,Other / Multiracial
260021,TOD-S + TOD,19701,22,College - Junior,Female,Some College or associate's degree,Yes,White
260020,TOD-S + TOD,19701,23,College - Senior,Female,Some College or associate's degree,Yes,Other / Multiracial
260019,TOD-S + TOD,19701,22,College - Junior,Female,Some College or associate's degree,No,Black/African American
212019,TOD-S + TOD,60609,15,11,Female,HS_grad,No,Black/African American
212018,TOD-S + TOD,60609,16,11,Female,HS_grad,No,Black/African American
255010,TOD-S + TOD,29456,11,5,Male,HS_grad,No,Black/African American
265017,TOD-S + TOD,48237,14,9,Male,HS_grad,No,Black/African American
205032,TOD-S + TOD,20854,17,12,Female,Bachelors degree or higher,No,White
223028,TOD-S + TOD,78543,12,7,Female,HS_grad,Yes,White
223002,TOD-S + TOD,78543,9,4,Male,HS_grad,Yes,White
223010,TOD-S + TOD,78543,12,6,Female,HS_grad,Yes,White
223022,TOD-S + TOD,78538,8,2,Male,HS_grad,Yes,White
305005,TOD-S + TOD-E,92128,6,1,Male,Bachelors degree or higher,No,White
305006,TOD-S + TOD,92128,10,6,Female,Bachelors degree or higher,No,White
268008,TOD-S + TOD,66049,16,11,Male,Bachelors degree or higher,Yes,Other / Multiracial
271002,TOD-S + TOD,17408,12,7,Female,Bachelors degree or higher,No,White
206014,TOD-S + TOD,1516,29,Not Applicable / NOT IN SCHOOL,Female,Some College or associate's degree,No,White
206010,TOD-S + TOD,2816,9,3,Female,Bachelors degree or higher,No,White
206009,TOD-S + TOD,2816,12,6,Female,Bachelors degree or higher,No,White
268007,TOD-S + TOD,66049,12,7,Female,Bachelors degree or higher,Yes,Other / Multiracial
268006,TOD-S + TOD,50327,6,2,Female,HS_grad,Yes,Other / Multiracial
210019,TOD-S + TOD,78577,10,5,Female,Bachelors degree or higher,Yes,White
210014,TOD-S + TOD,78577,21,Not Applicable / NOT IN SCHOOL,Male,HS_grad,Yes,White
210013,TOD-S + TOD,78577,44,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,Yes,White
271005,TOD-S + TOD,4084,11,7,Female,Bachelors degree or higher,No,White
258021,TOD-S + TOD,95191,53,Not Applicable / NOT IN SCHOOL,Female,Some College or associate's degree,No,White
271012,TOD-S + TOD,2144,58,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,White
271007,TOD-S + TOD,4084,14,9,Female,Bachelors degree or higher,No,White
305003,TOD-S + TOD,92127,10,5,Female,Bachelors degree or higher,No,White
232017,TOD-S + TOD,91355,11,6,Male,Bachelors degree or higher,No,White
232028,TOD-S + TOD,91355,9,4,Female,Bachelors degree or higher,No,White
259033,TOD-S + TOD,30350,6,1,Female,HS_grad,Yes,White
251006,TOD-S + TOD,34997,8,3,Female,Bachelors degree or higher,No,Asian
301005,TOD-S + TOD,90504,19,College - Freshman,Male,Bachelors degree or higher,No,White
232040,TOD-S + TOD,93955,27,College - Senior,Male,Bachelors degree or higher,No,White
261028,TOD-S + TOD,95955,9,4,Female,Bachelors degree or higher,No,White
261027,TOD-S + TOD,95987,6,1,Male,Bachelors degree or higher,No,White
261030,TOD-S + TOD,95955,11,6,Male,Bachelors degree or higher,No,White
261036,TOD-S + TOD,95955,11,6,Male,Some College or associate's degree,Yes,White
261038,TOD-S + TOD,95955,5,1,Female,Some College or associate's degree,No,White
261042,TOD-S + TOD,95955,11,6,Male,Some College or associate's degree,No,White
261039,TOD-S + TOD,95955,11,6,Male,Bachelors degree or higher,No,White
261045,TOD-S + TOD,95955,11,6,Male,HS_grad,Yes,White
261044,TOD-S + TOD,95955,12,6,Male,HS_grad,No,White
261025,TOD-S + TOD,95987,11,5,Female,Bachelors degree or higher,No,White
261024,TOD-S + TOD,95987,11,5,Female,Bachelors degree or higher,No,White
261046,TOD-S + TOD,95987,6,1,Female,Some College or associate's degree,No,White
305001,TOD-S + TOD,92026,8,3,Male,Bachelors degree or higher,No,White
305002,TOD-S + TOD,92026,16,11,Female,Bachelors degree or higher,No,White
255009,TOD-S + TOD,29483,18,Not Applicable / NOT IN SCHOOL,Female,Some College or associate's degree,No,Black/African American
255008,TOD-S + TOD,29445,9,4,Male,Bachelors degree or higher,No,Black/African American
258020,TOD-S + TOD,94903,58,Not Applicable / NOT IN SCHOOL,Female,Did not complete high school,No,White
244017,TOD-S + TOD,7305,9,3,Male,Did not complete high school,No,White
244016,TOD-S + TOD,7305,9,3,Female,Did not complete high school,Yes,White
244015,TOD-S + TOD,7305,9,3,Male,HS_grad,No,Black/African American
244014,TOD-S + TOD,7305,9,3,Female,HS_grad,Yes,White
244012,TOD-S + TOD,7305,8,2,Female,HS_grad,No,Black/African American
244011,TOD-S + TOD,7305,8,2,Female,HS_grad,No,Black/African American
244009,TOD-S + TOD,7305,7,2,Male,HS_grad,Yes,White
203010,TOD-S + TOD,57069,11,5,Male,Bachelors degree or higher,No,White
244008,TOD-S + TOD,7305,7,2,Female,HS_grad,No,Black/African American
244007,TOD-S + TOD,7305,7,1,Male,HS_grad,No,Black/African American
244006,TOD-S + TOD,7305,6,1,Male,Did not complete high school,Yes,White
244005,TOD-S + TOD,7305,7,1,Female,HS_grad,Yes,White
244004,TOD-S + TOD,7305,6,1,Female,HS_grad,No,Black/African American
244003,TOD-S + TOD,7305,7,1,Male,Did not complete high school,Yes,White
244002,TOD-S + TOD,7305,6,1,Male,HS_grad,Yes,White
244001,TOD-S + TOD,7305,7,1,Male,HS_grad,Yes,White
271009,TOD-S + TOD,4084,15,9,Male,Bachelors degree or higher,No,White
211037,TOD-S + TOD,64064,42,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
211032,TOD-S + TOD,64138,16,11,Female,HS_grad,No,White
211033,TOD-S + TOD,64055,10,6,Female,Bachelors degree or higher,No,Other / Multiracial
211034,TOD-S + TOD,64055,8,4,Male,Bachelors degree or higher,No,Other / Multiracial
211038,TOD-S + TOD,64064,16,11,Male,Bachelors degree or higher,No,White
211036,TOD-S + TOD,64064,13,8,Male,Bachelors degree or higher,No,White
211039,TOD-S + TOD,64064,13,8,Female,Bachelors degree or higher,No,White
232046,TOD-S + TOD,91354,41,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
257001,TOD-S + TOD-E,90723,7,1,Male,HS_grad,Yes,Other / Multiracial
257025,TOD-S + TOD,90723,8,3,Female,Did not complete high school,Yes,Other / Multiracial
257002,TOD-S + TOD-E,90723,7,1,Female,Did not complete high school,Yes,Other / Multiracial
212017,TOD-S + TOD,60652,15,11,Female,HS_grad,No,Black/African American
203015,TOD-S + TOD,57069,12,6,Male,Bachelors degree or higher,No,White
203026,TOD-S + TOD,57069,70,Not Applicable / NOT IN SCHOOL,Male,HS_grad,No,White
224006,TOD-S + TOD,53719,49,Not Applicable / NOT IN SCHOOL,Male,Bachelors degree or higher,No,White
257035,TOD-S + TOD-E,90723,6,K,Male,Some College or associate's degree,No,Black/African American
203019,TOD-S + TOD,57069,20,College - Freshman,Male,Some College or associate's degree,No,White
233020,TOD-S + TOD,62901,21,Not Applicable / NOT IN SCHOOL,Male,Did not complete high school,No,Black/African American
233016,TOD-S + TOD,62901,20,Not Applicable / NOT IN SCHOOL,Male,HS_grad,No,Black/African American
233015,TOD-S + TOD,62901,19,Not Applicable / NOT IN SCHOOL,Male,HS_grad,No,Black/African American
233019,TOD-S + TOD,62901,21,Not Applicable / NOT IN SCHOOL,Male,Did not complete high school,No,Black/African American
233018,TOD-S + TOD,62901,21,Not Applicable / NOT IN SCHOOL,Male,Did not complete high school,No,Black/African American
233014,TOD-S + TOD,62901,19,Not Applicable / NOT IN SCHOOL,Male,HS_grad,No,Black/African American
233017,TOD-S + TOD,62901,20,Not Applicable / NOT IN SCHOOL,Male,HS_grad,No,Black/African American
233013,TOD-S + TOD,62901,21,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
205041,TOD-S + TOD,20878,74,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
205042,TOD-S + TOD,20878,63,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
233010,TOD-S + TOD,62901,20,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233009,TOD-S + TOD,62901,20,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233008,TOD-S + TOD,62901,20,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233007,TOD-S + TOD,62901,20,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233006,TOD-S + TOD,62901,20,Not Applicable / NOT IN SCHOOL,Female,Did not complete high school,No,Black/African American
233005,TOD-S + TOD,62901,19,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233004,TOD-S + TOD,62901,19,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233003,TOD-S + TOD,62901,19,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233002,TOD-S + TOD,62901,19,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
233001,TOD-S + TOD,62901,19,Not Applicable / NOT IN SCHOOL,Female,Did not complete high school,No,Black/African American
248032,TOD-S + TOD,89117,20,College - Junior,Female,Some College or associate's degree,Yes,White
206007,TOD-S + TOD,1529,14,8,Female,Some College or associate's degree,No,White
258019,TOD-S + TOD,94039,17,10,Male,Did not complete high school,Yes,Other / Multiracial
259031,TOD-S + TOD,30052,9,3,Female,HS_grad,No,Black/African American
259030,TOD-S + TOD,30052,9,3,Male,Some College or associate's degree,No,Black/African American
259029,TOD-S + TOD,30052,19,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,Black/African American
212014,TOD-S + TOD,60803,15,9,Male,HS_grad,No,Black/African American
212013,TOD-S + TOD,60803,15,9,Male,HS_grad,No,Black/African American
301001,TOD-S + TOD,24060,8,2,Female,Bachelors degree or higher,No,White
271014,TOD-S + TOD,4084,83,Not Applicable / NOT IN SCHOOL,Male,HS_grad,No,White
271010,TOD-S + TOD,4084,17,12,Male,Bachelors degree or higher,No,White
271008,TOD-S + TOD,4084,14,8,Male,Bachelors degree or higher,No,White
205019,TOD-S + TOD,20901,10,4,Male,Bachelors degree or higher,No,Other / Multiracial
232036,TOD-S + TOD,91390,55,Not Applicable / NOT IN SCHOOL,Male,Bachelors degree or higher,No,White
261041,TOD-S + TOD,95955,15,10,Female,HS_grad,No,White
261040,TOD-S + TOD,95955,13,7,Female,Bachelors degree or higher,No,White
261043,TOD-S + TOD,95955,17,12,Male,Some College or associate's degree,No,White
212029,TOD-S + TOD,60629,18,12,Female,HS_grad,No,Black/African American
212016,TOD-S + TOD,60620,15,10,Female,HS_grad,No,Black/African American
261037,TOD-S + TOD,95955,9,3,Female,Some College or associate's degree,No,White
253049,TOD-S + TOD,82801,14,10,Male,Some College or associate's degree,No,White
253030,TOD-S + TOD,82801,13,7,Male,Some College or associate's degree,No,White
258018,TOD-S + TOD,94050,18,Not Applicable / NOT IN SCHOOL,Male,Did not complete high school,Yes,Other / Multiracial
212005,TOD-S + TOD,61805,11,5,Female,HS_grad,No,Black/African American
232015,TOD-S + TOD,91390,48,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
232050,TOD-S + TOD,91390,17,12,Female,Bachelors degree or higher,No,White
223019,TOD-S + TOD,78543,15,9,Female,HS_grad,Yes,White
223017,TOD-S + TOD,78543,13,8,Female,HS_grad,Yes,White
253050,TOD-S + TOD,82801,7,1,Male,Some College or associate's degree,No,White
232049,TOD-S + TOD,91390,40,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
208023,TOD-S + TOD-E,30045,9,4,Female,Some College or associate's degree,No,Black/African American
217022,TOD-S + TOD,6002,14,8,Male,Some College or associate's degree,No,White
217021,TOD-S + TOD,6002,13,7,Male,Some College or associate's degree,No,White
217019,TOD-S + TOD,6002,12,5,Male,HS_grad,No,Black/African American
217016,TOD-S + TOD,6002,8,3,Male,HS_grad,No,White
217015,TOD-S + TOD,6002,8,3,Male,HS_grad,No,Black/African American
259028,TOD-S + TOD,30039,11,6,Male,Bachelors degree or higher,No,Black/African American
259027,TOD-S + TOD,30277,14,8,Male,Bachelors degree or higher,Yes,White
232026,TOD-S + TOD-E,91387,7,1,Female,Bachelors degree or higher,No,White
232010,TOD-S + TOD,91354,17,12,Male,Bachelors degree or higher,Yes,Other / Multiracial
227026,TOD-S + TOD,49301,14,8,Male,Bachelors degree or higher,No,White
205021,TOD-S + TOD,22207,12,6,Female,Bachelors degree or higher,No,White
264046,TOD-S + TOD,37923,21,College - Junior,Female,Bachelors degree or higher,No,Other / Multiracial
264045,TOD-S + TOD,37932,16,9,Male,Bachelors degree or higher,No,White
264044,TOD-S + TOD,37909,21,Not Applicable / NOT IN SCHOOL,Male,Some College or associate's degree,No,White
248027,TOD-S + TOD,89122,21,12,Male,HS_grad,Yes,White
227007,TOD-S + TOD,49301,12,6,Female,Bachelors degree or higher,No,White
259026,TOD-S + TOD,30291,20,College - Junior,Female,Some College or associate's degree,No,Black/African American
208023,TOD-S + TOD,30309,9,4,Female,Some College or associate's degree,No,Black/African American
268005,TOD-S + TOD,66049,21,College - Senior,Female,Some College or associate's degree,No,Other / Multiracial
265016,TOD-S + TOD,48070,8,2,Male,Bachelors degree or higher,No,White
227025,TOD-S + TOD,49301,47,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
262025,TOD-S + TOD,40220,11,5,Male,Some College or associate's degree,No,Other / Multiracial
262024,TOD-S + TOD,40220,9,3,Female,Some College or associate's degree,No,Other / Multiracial
210018,TOD-S + TOD-E,78572,6,1,Male,Some College or associate's degree,Yes,White
209018,TOD-S + TOD,85718,28,Not Applicable / NOT IN SCHOOL,Male,Bachelors degree or higher,No,White
265008,TOD-S + TOD,48237,12,7,Female,Bachelors degree or higher,No,Black/African American
243017,TOD-S + TOD,40059,18,12,Male,HS_grad,No,White
253048,TOD-S + TOD,82801,13,8,Female,Some College or associate's degree,Yes,Other / Multiracial
259025,TOD-S + TOD,30350,9,3,Female,Did not complete high school,Yes,White
253047,TOD-S + TOD,82801,8,3,Male,Some College or associate's degree,No,White
210017,TOD-S + TOD-E,78572,7,1,Male,Bachelors degree or higher,Yes,White
210016,TOD-S + TOD-E,78572,6,K,Male,Bachelors degree or higher,Yes,White
210015,TOD-S + TOD,78577,24,Not Applicable / NOT IN SCHOOL,Male,HS_grad,Yes,White
210014,TOD-S + TOD,78577,21,Not Applicable / NOT IN SCHOOL,Male,HS_grad,Yes,White
210013,TOD-S + TOD,78577,44,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,Yes,White
210002,TOD-S + TOD,78577,26,Not Applicable / NOT IN SCHOOL,Female,Some College or associate's degree,Yes,White
210003,TOD-S + TOD,78577,26,Not Applicable / NOT IN SCHOOL,Male,Did not complete high school,Yes,White
210004,TOD-S + TOD,78577,27,Not Applicable / NOT IN SCHOOL,Female,HS_grad,Yes,White
258017,TOD-S + TOD,94050,52,Not Applicable / NOT IN SCHOOL,Female,HS_grad,Yes,Other / Multiracial
236008,TOD-S + TOD,53158,8,3,Female,Bachelors degree or higher,No,White
236045,TOD-S + TOD,53177,7,1,Male,Bachelors degree or higher,No,White
236019,TOD-S + TOD,53403,11,6,Female,Bachelors degree or higher,No,White
236005,TOD-S + TOD,53403,7,1,Male,Bachelors degree or higher,No,White
236006,TOD-S + TOD,53182,8,2,Male,Bachelors degree or higher,No,White
236027,TOD-S + TOD,53182,14,9,Male,Bachelors degree or higher,No,White
236015,TOD-S + TOD,53403,11,5,Female,Bachelors degree or higher,Yes,Other / Multiracial
236025,TOD-S + TOD,53403,15,9,Female,Bachelors degree or higher,Yes,Other / Multiracial
236048,TOD-S + TOD,53405,6,1,Female,Some College or associate's degree,No,White
236010,TOD-S + TOD,53158,8,3,Female,Bachelors degree or higher,No,White
236035,TOD-S + TOD,53158,44,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
236020,TOD-S + TOD,53158,13,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
210007,TOD-S + TOD,78573,10,5,Female,Bachelors degree or higher,Yes,White
236043,TOD-S + TOD,53406,15,9,Female,Bachelors degree or higher,No,White
236007,TOD-S + TOD,53406,8,2,Female,Bachelors degree or higher,No,White
224007,TOD-S + TOD,53719,64,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
223020,TOD-S + TOD,78538,15,8,Female,Did not complete high school,Yes,White
261035,TOD-S + TOD,95988,16,10,Female,Bachelors degree or higher,No,White
204018,TOD-S + TOD,39507,50,Not Applicable / NOT IN SCHOOL,Female,HS_grad,Yes,White
204002,TOD-S + TOD,70003,35,Not Applicable / NOT IN SCHOOL,Female,Bachelors degree or higher,No,White
204009,TOD-S + TOD,70123,66,Not Applicable / NOT IN SCHOOL,Female,HS_grad,No,White
221013,TOD-S + TOD,13203,16,9,Female,HS_grad,No,Black/African American
204016,TOD-S + TOD,39503,39,Not Applicable / NOT IN SCHOOL,Male,Some College or associate's degree,No,Black/African American
253046,TOD-S + TOD,82801,11,6,Female,Some College or associate's degree,Yes,Other / Multiracial
301004,TOD-S + TOD,24060,23,College - Senior,Male,Bachelors degree or higher,Yes,Other / Multiracial
