norm_group,score,raw,ss,CI90,CI95,percentile,desc_range,risk
age,eddiq,398,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,399,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,400,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,401,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,402,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,403,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,404,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,405,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,406,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,407,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,408,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,409,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,410,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,411,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,412,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,413,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,414,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,415,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,416,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,417,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,418,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,419,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,420,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,421,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,422,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,423,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,424,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,425,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,426,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,427,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,428,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,429,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,430,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,431,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,432,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,433,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,434,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,435,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,436,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,437,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,438,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,439,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,440,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,441,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,442,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,443,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,444,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,445,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,446,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,447,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,448,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,449,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,450,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,451,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,452,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,453,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,454,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,455,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,456,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,457,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,458,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,459,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,460,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,461,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,462,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,463,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,464,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,465,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,466,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,467,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,468,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,469,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,470,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,471,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,472,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,473,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,474,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,475,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,476,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,477,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,478,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,479,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,480,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,481,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,482,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,483,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,484,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,485,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,486,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,487,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,488,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,489,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,490,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,491,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,492,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,493,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,494,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,495,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,496,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,497,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,498,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,499,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,500,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,501,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,502,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,503,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,504,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,505,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,506,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,507,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,508,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,509,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,510,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,511,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,512,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,513,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,514,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,515,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,516,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,517,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,518,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,519,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,520,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,521,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,522,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,523,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,524,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,525,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,526,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,527,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,528,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,529,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,530,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,531,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,532,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,533,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,534,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,535,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,536,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,537,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,538,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,539,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,540,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,541,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,542,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,543,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,544,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,545,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,546,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,547,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,548,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,549,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,550,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,551,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,552,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,553,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,554,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,555,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,556,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,557,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,558,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,559,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,560,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,561,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,562,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,563,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,564,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,565,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,566,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,567,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,568,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,569,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,570,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,571,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,572,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,573,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,574,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,575,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,576,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,577,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,578,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,579,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,580,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,581,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,582,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,583,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,584,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,585,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,586,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,587,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,588,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,589,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,590,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,591,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,592,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,593,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,594,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,595,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,596,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,597,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,598,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,599,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,600,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,601,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,602,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,603,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,604,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,605,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,606,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,607,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,608,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,609,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,610,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,611,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,612,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,613,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,614,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,615,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,616,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,617,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,618,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,619,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,620,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,621,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,622,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,623,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,624,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,625,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,626,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,627,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,628,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,629,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,630,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,631,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,632,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,633,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,634,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,635,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,636,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,637,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,638,72,69 - 75,68 - 76,3,Well Below Average,Very High Probability of Dyslexia
age,eddiq,639,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,640,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,641,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,642,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,643,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,644,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,645,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,646,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,647,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,648,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,649,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,650,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,651,73,70 - 76,69 - 77,4,Well Below Average,Very High Probability of Dyslexia
age,eddiq,652,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,653,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,654,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,655,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,656,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,657,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,658,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,659,75,72 - 78,71 - 79,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,660,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,661,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,662,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,663,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,664,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,665,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,666,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,667,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,668,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,669,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,670,76,73 - 79,72 - 80,5,Well Below Average,Very High Probability of Dyslexia
age,eddiq,671,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,672,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,673,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,674,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,675,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,676,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,677,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,678,77,74 - 80,73 - 81,6,Well Below Average,Very High Probability of Dyslexia
age,eddiq,679,78,75 - 81,74 - 82,7,Well Below Average,Very High Probability of Dyslexia
age,eddiq,680,78,75 - 81,74 - 82,7,Well Below Average,Very High Probability of Dyslexia
age,eddiq,681,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,682,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,683,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,684,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,685,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,686,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,687,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,688,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,689,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,690,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,691,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,692,79,76 - 82,75 - 83,8,Well Below Average,Very High Probability of Dyslexia
age,eddiq,693,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,694,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,695,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,696,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,697,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,698,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,699,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,700,81,78 - 84,77 - 85,10,Below Average,High Probability of Dyslexia
age,eddiq,701,82,79 - 85,78 - 86,12,Below Average,High Probability of Dyslexia
