test,agemon_min,agemon_max,raw,ss,CI90,CI95,percentile,age_equiv,desc_range
rhye,64,67,20,121,115 - 127,114 - 128,92,6:6 to 6:11,Well Above Average
rhye,64,67,21,123,117 - 129,116 - 130,94,7:0 to 7:5,Well Above Average
rhye,64,67,22,125,119 - 130,118 - 130,95,7:0 to 7:5,Well Above Average
rhye,64,67,23,127,121 - 130,120 - 130,96,7:0 to 7:5,Well Above Average
rhye,64,67,24,129,123 - 130,122 - 130,97,7:6 to 7:11,Well Above Average
rhye,64,67,25,130,124 - 130,123 - 130,98,8:0 to 8:5,Well Above Average
rhye,64,67,26,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
rhye,64,67,27,130,124 - 130,123 - 130,98,8:6 to 9:3,Well Above Average
rhye,64,67,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,64,67,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,64,67,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,68,71,0,74,68 - 80,67 - 81,4,< start age,Well Below Average
rhye,68,71,1,76,70 - 82,69 - 83,5,< start age,Well Below Average
rhye,68,71,2,81,75 - 87,74 - 88,10,< start age,Below Average
rhye,68,71,3,85,79 - 91,78 - 92,16,< start age,Below Average
rhye,68,71,4,88,82 - 94,81 - 95,21,5:0 to 5:3,Below Average
rhye,68,71,5,90,84 - 96,83 - 97,25,5:0 to 5:3,Average
rhye,68,71,6,92,86 - 98,85 - 99,30,5:0 to 5:3,Average
rhye,68,71,7,94,88 - 100,87 - 101,34,5:4 to 5:7,Average
rhye,68,71,8,96,90 - 102,89 - 103,39,5:4 to 5:7,Average
rhye,68,71,9,97,91 - 103,90 - 104,42,5:4 to 5:7,Average
rhye,68,71,10,99,93 - 105,92 - 106,47,5:8 to 5:11,Average
rhye,68,71,11,100,94 - 106,93 - 107,50,5:8 to 5:11,Average
rhye,68,71,12,102,96 - 108,95 - 109,55,5:8 to 5:11,Average
rhye,68,71,13,104,98 - 110,97 - 111,61,6:0 to 6:5,Average
rhye,68,71,14,105,99 - 111,98 - 112,63,6:0 to 6:5,Average
rhye,68,71,15,107,101 - 113,100 - 114,68,6:0 to 6:5,Average
rhye,68,71,16,108,102 - 114,101 - 115,70,6:0 to 6:5,Average
rhye,68,71,17,110,104 - 116,103 - 117,75,6:6 to 6:11,Above Average
rhye,68,71,18,112,106 - 118,105 - 119,79,6:6 to 6:11,Above Average
rhye,68,71,19,113,107 - 119,106 - 120,81,6:6 to 6:11,Above Average
rhye,68,71,20,115,109 - 121,108 - 122,84,6:6 to 6:11,Above Average
rhye,68,71,21,117,111 - 123,110 - 124,87,7:0 to 7:5,Above Average
rhye,68,71,22,119,113 - 125,112 - 126,90,7:0 to 7:5,Above Average
rhye,68,71,23,121,115 - 127,114 - 128,92,7:0 to 7:5,Well Above Average
rhye,68,71,24,123,117 - 129,116 - 130,94,7:6 to 7:11,Well Above Average
rhye,68,71,25,125,119 - 130,118 - 130,95,8:0 to 8:5,Well Above Average
rhye,68,71,26,127,121 - 130,120 - 130,96,8:6 to 9:3,Well Above Average
rhye,68,71,27,129,123 - 130,122 - 130,97,8:6 to 9:3,Well Above Average
rhye,68,71,28,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,68,71,29,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,68,71,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,72,77,0,71,65 - 77,64 - 78,3,< start age,Well Below Average
rhye,72,77,1,75,69 - 81,68 - 82,5,< start age,Well Below Average
rhye,72,77,2,79,73 - 85,72 - 86,8,< start age,Well Below Average
rhye,72,77,3,81,75 - 87,74 - 88,10,< start age,Below Average
rhye,72,77,4,83,77 - 89,76 - 90,13,5:0 to 5:3,Below Average
rhye,72,77,5,85,79 - 91,78 - 92,16,5:0 to 5:3,Below Average
rhye,72,77,6,87,81 - 93,80 - 94,19,5:0 to 5:3,Below Average
rhye,72,77,7,88,82 - 94,81 - 95,21,5:4 to 5:7,Below Average
rhye,72,77,8,90,84 - 96,83 - 97,25,5:4 to 5:7,Average
rhye,72,77,9,91,85 - 97,84 - 98,27,5:4 to 5:7,Average
rhye,72,77,10,93,87 - 99,86 - 100,32,5:8 to 5:11,Average
rhye,72,77,11,94,88 - 100,87 - 101,34,5:8 to 5:11,Average
rhye,72,77,12,96,90 - 102,89 - 103,39,5:8 to 5:11,Average
rhye,72,77,13,97,91 - 103,90 - 104,42,6:0 to 6:5,Average
rhye,72,77,14,99,93 - 105,92 - 106,47,6:0 to 6:5,Average
rhye,72,77,15,100,94 - 106,93 - 107,50,6:0 to 6:5,Average
rhye,72,77,16,102,96 - 108,95 - 109,55,6:0 to 6:5,Average
rhye,72,77,17,104,98 - 110,97 - 111,61,6:6 to 6:11,Average
rhye,72,77,18,105,99 - 111,98 - 112,63,6:6 to 6:11,Average
rhye,72,77,19,107,101 - 113,100 - 114,68,6:6 to 6:11,Average
rhye,72,77,20,108,102 - 114,101 - 115,70,6:6 to 6:11,Average
rhye,72,77,21,110,104 - 116,103 - 117,75,7:0 to 7:5,Above Average
rhye,72,77,22,112,106 - 118,105 - 119,79,7:0 to 7:5,Above Average
rhye,72,77,23,114,108 - 120,107 - 121,82,7:0 to 7:5,Above Average
rhye,72,77,24,116,110 - 122,109 - 123,86,7:6 to 7:11,Above Average
rhye,72,77,25,118,112 - 124,111 - 125,88,8:0 to 8:5,Above Average
rhye,72,77,26,120,114 - 126,113 - 127,91,8:6 to 9:3,Well Above Average
rhye,72,77,27,123,117 - 129,116 - 130,94,8:6 to 9:3,Well Above Average
rhye,72,77,28,126,120 - 130,119 - 130,96,> stop age,Well Above Average
rhye,72,77,29,129,123 - 130,122 - 130,97,> stop age,Well Above Average
rhye,72,77,30,130,124 - 130,123 - 130,98,> stop age,Well Above Average
rhye,78,83,0,68,62 - 74,61 - 75,2,< start age,Significantly Below Average
rhye,78,83,1,72,66 - 78,65 - 79,3,< start age,Well Below Average
rhye,78,83,2,74,68 - 80,67 - 81,4,< start age,Well Below Average
rhye,78,83,3,76,70 - 82,69 - 83,5,< start age,Well Below Average
rhye,78,83,4,78,72 - 84,71 - 85,7,5:0 to 5:3,Well Below Average
rhye,78,83,5,80,74 - 86,73 - 87,9,5:0 to 5:3,Below Average
rhye,78,83,6,81,75 - 87,74 - 88,10,5:0 to 5:3,Below Average
rhye,78,83,7,83,77 - 89,76 - 90,13,5:4 to 5:7,Below Average
rhye,78,83,8,84,78 - 90,77 - 91,14,5:4 to 5:7,Below Average
rhye,78,83,9,86,80 - 92,79 - 93,18,5:4 to 5:7,Below Average
rhye,78,83,10,87,81 - 93,80 - 94,19,5:8 to 5:11,Below Average
rhye,78,83,11,88,82 - 94,81 - 95,21,5:8 to 5:11,Below Average
rhye,78,83,12,90,84 - 96,83 - 97,25,5:8 to 5:11,Average
rhye,78,83,13,91,85 - 97,84 - 98,27,6:0 to 6:5,Average
rhye,78,83,14,93,87 - 99,86 - 100,32,6:0 to 6:5,Average
rhye,78,83,15,94,88 - 100,87 - 101,34,6:0 to 6:5,Average
rhye,78,83,16,96,90 - 102,89 - 103,39,6:0 to 6:5,Average
rhye,78,83,17,97,91 - 103,90 - 104,42,6:6 to 6:11,Average
rhye,78,83,18,99,93 - 105,92 - 106,47,6:6 to 6:11,Average
rhye,78,83,19,100,94 - 106,93 - 107,50,6:6 to 6:11,Average
rhye,78,83,20,102,96 - 108,95 - 109,55,6:6 to 6:11,Average
rhye,78,83,21,104,98 - 110,97 - 111,61,7:0 to 7:5,Average
rhye,78,83,22,105,99 - 111,98 - 112,63,7:0 to 7:5,Average
rhye,78,83,23,107,101 - 113,100 - 114,68,7:0 to 7:5,Average
rhye,78,83,24,109,103 - 115,102 - 116,73,7:6 to 7:11,Average
rhye,78,83,25,112,106 - 118,105 - 119,79,8:0 to 8:5,Above Average
rhye,78,83,26,114,108 - 120,107 - 121,82,8:6 to 9:3,Above Average
rhye,78,83,27,117,111 - 123,110 - 124,87,8:6 to 9:3,Above Average
rhye,78,83,28,120,114 - 126,113 - 127,91,> stop age,Well Above Average
rhye,78,83,29,124,118 - 130,117 - 130,95,> stop age,Well Above Average
rhye,78,83,30,129,123 - 130,122 - 130,97,> stop age,Well Above Average
rhye,84,89,0,65,59 - 71,58 - 72,1,< start age,Significantly Below Average
rhye,84,89,1,68,62 - 74,61 - 75,2,< start age,Significantly Below Average
rhye,84,89,2,70,64 - 76,63 - 77,2,< start age,Well Below Average
rhye,84,89,3,72,66 - 78,65 - 79,3,< start age,Well Below Average
rhye,84,89,4,73,67 - 79,66 - 80,4,5:0 to 5:3,Well Below Average
rhye,84,89,5,75,69 - 81,68 - 82,5,5:0 to 5:3,Well Below Average
rhye,84,89,6,76,70 - 82,69 - 83,5,5:0 to 5:3,Well Below Average
rhye,84,89,7,78,72 - 84,71 - 85,7,5:4 to 5:7,Well Below Average
rhye,84,89,8,79,73 - 85,72 - 86,8,5:4 to 5:7,Well Below Average
rhye,84,89,9,81,75 - 87,74 - 88,10,5:4 to 5:7,Below Average
rhye,84,89,10,82,76 - 88,75 - 89,12,5:8 to 5:11,Below Average
rhye,84,89,11,83,77 - 89,76 - 90,13,5:8 to 5:11,Below Average
rhye,84,89,12,85,79 - 91,78 - 92,16,5:8 to 5:11,Below Average
rhye,84,89,13,86,80 - 92,79 - 93,18,6:0 to 6:5,Below Average
rhye,84,89,14,87,81 - 93,80 - 94,19,6:0 to 6:5,Below Average
rhye,84,89,15,89,83 - 95,82 - 96,23,6:0 to 6:5,Below Average
rhye,84,89,16,90,84 - 96,83 - 97,25,6:0 to 6:5,Average
rhye,84,89,17,92,86 - 98,85 - 99,30,6:6 to 6:11,Average
rhye,84,89,18,93,87 - 99,86 - 100,32,6:6 to 6:11,Average
rhye,84,89,19,95,89 - 101,88 - 102,37,6:6 to 6:11,Average
rhye,84,89,20,96,90 - 102,89 - 103,39,6:6 to 6:11,Average
rhye,84,89,21,98,92 - 104,91 - 105,45,7:0 to 7:5,Average
rhye,84,89,22,100,94 - 106,93 - 107,50,7:0 to 7:5,Average
rhye,84,89,23,102,96 - 108,95 - 109,55,7:0 to 7:5,Average
rhye,84,89,24,104,98 - 110,97 - 111,61,7:6 to 7:11,Average
rhye,84,89,25,107,101 - 113,100 - 114,68,8:0 to 8:5,Average
rhye,84,89,26,110,104 - 116,103 - 117,75,8:6 to 9:3,Above Average
rhye,84,89,27,113,107 - 119,106 - 120,81,8:6 to 9:3,Above Average
rhye,84,89,28,118,112 - 124,111 - 125,88,> stop age,Above Average
rhye,84,89,29,123,117 - 129,116 - 130,94,> stop age,Well Above Average
rhye,84,89,30,128,122 - 130,121 - 130,97,> stop age,Well Above Average
rhye,90,95,0,63,57 - 69,56 - 70,1,< start age,Significantly Below Average
rhye,90,95,1,65,59 - 71,58 - 72,1,< start age,Significantly Below Average
rhye,90,95,2,67,61 - 73,60 - 74,1,< start age,Significantly Below Average
rhye,90,95,3,68,62 - 74,61 - 75,2,< start age,Significantly Below Average
rhye,90,95,4,70,64 - 76,63 - 77,2,5:0 to 5:3,Well Below Average
rhye,90,95,5,71,65 - 77,64 - 78,3,5:0 to 5:3,Well Below Average
rhye,90,95,6,72,66 - 78,65 - 79,3,5:0 to 5:3,Well Below Average
rhye,90,95,7,74,68 - 80,67 - 81,4,5:4 to 5:7,Well Below Average
rhye,90,95,8,75,69 - 81,68 - 82,5,5:4 to 5:7,Well Below Average
rhye,90,95,9,76,70 - 82,69 - 83,5,5:4 to 5:7,Well Below Average
rhye,90,95,10,78,72 - 84,71 - 85,7,5:8 to 5:11,Well Below Average
rhye,90,95,11,79,73 - 85,72 - 86,8,5:8 to 5:11,Well Below Average
rhye,90,95,12,80,74 - 86,73 - 87,9,5:8 to 5:11,Below Average
rhye,90,95,13,81,75 - 87,74 - 88,10,6:0 to 6:5,Below Average
rhye,90,95,14,83,77 - 89,76 - 90,13,6:0 to 6:5,Below Average
rhye,90,95,15,84,78 - 90,77 - 91,14,6:0 to 6:5,Below Average
rhye,90,95,16,86,80 - 92,79 - 93,18,6:0 to 6:5,Below Average
rhye,90,95,17,87,81 - 93,80 - 94,19,6:6 to 6:11,Below Average
rhye,90,95,18,89,83 - 95,82 - 96,23,6:6 to 6:11,Below Average
rhye,90,95,19,90,84 - 96,83 - 97,25,6:6 to 6:11,Average
rhye,90,95,20,92,86 - 98,85 - 99,30,6:6 to 6:11,Average
rhye,90,95,21,94,88 - 100,87 - 101,34,7:0 to 7:5,Average
rhye,90,95,22,96,90 - 102,89 - 103,39,7:0 to 7:5,Average
rhye,90,95,23,98,92 - 104,91 - 105,45,7:0 to 7:5,Average
rhye,90,95,24,101,95 - 107,94 - 108,53,7:6 to 7:11,Average
rhye,90,95,25,104,98 - 110,97 - 111,61,8:0 to 8:5,Average
rhye,90,95,26,108,102 - 114,101 - 115,70,8:6 to 9:3,Average
rhye,90,95,27,111,105 - 117,104 - 118,77,8:6 to 9:3,Above Average
rhye,90,95,28,116,110 - 122,109 - 123,86,> stop age,Above Average
rhye,90,95,29,122,116 - 128,115 - 129,93,> stop age,Well Above Average
rhye,90,95,30,127,121 - 130,120 - 130,96,> stop age,Well Above Average
rhye,96,101,0,60,54 - 66,53 - 67,0.4,< start age,Significantly Below Average
rhye,96,101,1,62,56 - 68,55 - 69,1,< start age,Significantly Below Average
rhye,96,101,2,63,57 - 69,56 - 70,1,< start age,Significantly Below Average
rhye,96,101,3,65,59 - 71,58 - 72,1,< start age,Significantly Below Average
rhye,96,101,4,66,60 - 72,59 - 73,1,5:0 to 5:3,Significantly Below Average
rhye,96,101,5,68,62 - 74,61 - 75,2,5:0 to 5:3,Significantly Below Average
rhye,96,101,6,69,63 - 75,62 - 76,2,5:0 to 5:3,Significantly Below Average
rhye,96,101,7,70,64 - 76,63 - 77,2,5:4 to 5:7,Well Below Average
rhye,96,101,8,71,65 - 77,64 - 78,3,5:4 to 5:7,Well Below Average
rhye,96,101,9,73,67 - 79,66 - 80,4,5:4 to 5:7,Well Below Average
rhye,96,101,10,74,68 - 80,67 - 81,4,5:8 to 5:11,Well Below Average
rhye,96,101,11,75,69 - 81,68 - 82,5,5:8 to 5:11,Well Below Average
rhye,96,101,12,76,70 - 82,69 - 83,5,5:8 to 5:11,Well Below Average
rhye,96,101,13,78,72 - 84,71 - 85,7,6:0 to 6:5,Well Below Average
rhye,96,101,14,79,73 - 85,72 - 86,8,6:0 to 6:5,Well Below Average
rhye,96,101,15,80,74 - 86,73 - 87,9,6:0 to 6:5,Below Average
rhye,96,101,16,82,76 - 88,75 - 89,12,6:0 to 6:5,Below Average
rhye,96,101,17,83,77 - 89,76 - 90,13,6:6 to 6:11,Below Average
rhye,96,101,18,85,79 - 91,78 - 92,16,6:6 to 6:11,Below Average
rhye,96,101,19,87,81 - 93,80 - 94,19,6:6 to 6:11,Below Average
rhye,96,101,20,88,82 - 94,81 - 95,21,6:6 to 6:11,Below Average
rhye,96,101,21,90,84 - 96,83 - 97,25,7:0 to 7:5,Average
rhye,96,101,22,93,87 - 99,86 - 100,32,7:0 to 7:5,Average
rhye,96,101,23,96,90 - 102,89 - 103,39,7:0 to 7:5,Average
rhye,96,101,24,99,93 - 105,92 - 106,47,7:6 to 7:11,Average
rhye,96,101,25,101,95 - 107,94 - 108,53,8:0 to 8:5,Average
rhye,96,101,26,103,97 - 109,96 - 110,58,8:6 to 9:3,Average
rhye,96,101,27,106,100 - 112,99 - 113,66,8:6 to 9:3,Average
rhye,96,101,28,111,105 - 117,104 - 118,77,> stop age,Above Average
rhye,96,101,29,118,112 - 124,111 - 125,88,> stop age,Above Average
rhye,96,101,30,123,117 - 129,116 - 130,94,> stop age,Well Above Average
rhye,102,117,0,57,51 - 63,50 - 64,0.2,< start age,Significantly Below Average
rhye,102,117,1,59,53 - 65,52 - 66,0.3,< start age,Significantly Below Average
rhye,102,117,2,60,54 - 66,53 - 67,0.4,< start age,Significantly Below Average
rhye,102,117,3,61,55 - 67,54 - 68,0.5,< start age,Significantly Below Average
rhye,102,117,4,63,57 - 69,56 - 70,1,5:0 to 5:3,Significantly Below Average
rhye,102,117,5,64,58 - 70,57 - 71,1,5:0 to 5:3,Significantly Below Average
rhye,102,117,6,65,59 - 71,58 - 72,1,5:0 to 5:3,Significantly Below Average
rhye,102,117,7,66,60 - 72,59 - 73,1,5:4 to 5:7,Significantly Below Average
rhye,102,117,8,67,61 - 73,60 - 74,1,5:4 to 5:7,Significantly Below Average
rhye,102,117,9,69,63 - 75,62 - 76,2,5:4 to 5:7,Significantly Below Average
rhye,102,117,10,70,64 - 76,63 - 77,2,5:8 to 5:11,Well Below Average
rhye,102,117,11,71,65 - 77,64 - 78,3,5:8 to 5:11,Well Below Average
rhye,102,117,12,72,66 - 78,65 - 79,3,5:8 to 5:11,Well Below Average
rhye,102,117,13,74,68 - 80,67 - 81,4,6:0 to 6:5,Well Below Average
rhye,102,117,14,75,69 - 81,68 - 82,5,6:0 to 6:5,Well Below Average
rhye,102,117,15,76,70 - 82,69 - 83,5,6:0 to 6:5,Well Below Average
rhye,102,117,16,78,72 - 84,71 - 85,7,6:0 to 6:5,Well Below Average
rhye,102,117,17,80,74 - 86,73 - 87,9,6:6 to 6:11,Below Average
rhye,102,117,18,81,75 - 87,74 - 88,10,6:6 to 6:11,Below Average
rhye,102,117,19,83,77 - 89,76 - 90,13,6:6 to 6:11,Below Average
rhye,102,117,20,86,80 - 92,79 - 93,18,6:6 to 6:11,Below Average
rhye,102,117,21,89,83 - 95,82 - 96,23,7:0 to 7:5,Below Average
rhye,102,117,22,91,85 - 97,84 - 98,27,7:0 to 7:5,Average
rhye,102,117,23,93,87 - 99,86 - 100,32,7:0 to 7:5,Average
rhye,102,117,24,96,90 - 102,89 - 103,39,7:6 to 7:11,Average
rhye,102,117,25,99,93 - 105,92 - 106,47,8:0 to 8:5,Average
rhye,102,117,26,100,94 - 106,93 - 107,50,8:6 to 9:3,Average
rhye,102,117,27,104,98 - 110,97 - 111,61,8:6 to 9:3,Average
rhye,102,117,28,108,102 - 114,101 - 115,70,> stop age,Average
rhye,102,117,29,114,108 - 120,107 - 121,82,> stop age,Above Average
rhye,102,117,30,118,112 - 124,111 - 125,88,> stop age,Above Average
ernle,60,63,0,66,57 - 75,55 - 77,1,< start age,Significantly Below Average
ernle,60,63,1,67,58 - 76,56 - 78,1,< start age,Significantly Below Average
ernle,60,63,2,68,59 - 77,57 - 79,2,< start age,Significantly Below Average
ernle,60,63,3,69,60 - 78,58 - 80,2,< start age,Significantly Below Average
ernle,60,63,4,70,61 - 79,59 - 81,2,< start age,Well Below Average
ernle,60,63,5,70,61 - 79,59 - 81,2,< start age,Well Below Average
ernle,60,63,6,71,62 - 80,60 - 82,3,< start age,Well Below Average
ernle,60,63,7,72,63 - 81,61 - 83,3,< start age,Well Below Average
ernle,60,63,8,73,64 - 82,62 - 84,4,< start age,Well Below Average
ernle,60,63,9,74,65 - 83,63 - 85,4,< start age,Well Below Average
ernle,60,63,10,75,66 - 84,64 - 86,5,< start age,Well Below Average
ernle,60,63,11,76,67 - 85,65 - 87,5,< start age,Well Below Average
ernle,60,63,12,77,68 - 86,66 - 88,6,< start age,Well Below Average
ernle,60,63,13,78,69 - 87,67 - 89,7,< start age,Well Below Average
ernle,60,63,14,78,69 - 87,67 - 89,7,< start age,Well Below Average
ernle,60,63,15,79,70 - 88,68 - 90,8,< start age,Well Below Average
ernle,60,63,16,80,71 - 89,69 - 91,9,< start age,Below Average
ernle,60,63,17,81,72 - 90,70 - 92,10,< start age,Below Average
ernle,60,63,18,82,73 - 91,71 - 93,12,< start age,Below Average
ernle,60,63,19,83,74 - 92,72 - 94,13,< start age,Below Average
ernle,60,63,20,84,75 - 93,73 - 95,14,< start age,Below Average
ernle,60,63,21,85,76 - 94,74 - 96,16,< start age,Below Average
ernle,60,63,22,85,76 - 94,74 - 96,16,< start age,Below Average
ernle,60,63,23,86,77 - 95,75 - 97,18,< start age,Below Average
ernle,60,63,24,87,78 - 96,76 - 98,19,< start age,Below Average
ernle,60,63,25,88,79 - 97,77 - 99,21,< start age,Below Average
ernle,60,63,26,89,80 - 98,78 - 100,23,< start age,Below Average
ernle,60,63,27,90,81 - 99,79 - 101,25,< start age,Average
ernle,60,63,28,91,82 - 100,80 - 102,27,< start age,Average
ernle,60,63,29,91,82 - 100,80 - 102,27,< start age,Average
ernle,60,63,30,92,83 - 101,81 - 103,30,< start age,Average
ernle,60,63,31,93,84 - 102,82 - 104,32,< start age,Average
ernle,60,63,32,94,85 - 103,83 - 105,34,< start age,Average
ernle,60,63,33,95,86 - 104,84 - 106,37,5:0 to 5:3,Average
ernle,60,63,34,96,87 - 105,85 - 107,39,5:0 to 5:3,Average
ernle,60,63,35,97,88 - 106,86 - 108,42,5:0 to 5:3,Average
ernle,60,63,36,98,89 - 107,87 - 109,45,5:0 to 5:3,Average
ernle,60,63,37,98,89 - 107,87 - 109,45,5:0 to 5:3,Average
ernle,60,63,38,99,90 - 108,88 - 110,47,5:0 to 5:3,Average
ernle,60,63,39,100,91 - 109,89 - 111,50,5:0 to 5:3,Average
ernle,60,63,40,101,92 - 110,90 - 112,53,5:0 to 5:3,Average
ernle,60,63,41,102,93 - 111,91 - 113,55,5:4 to 5:7,Average
ernle,60,63,42,103,94 - 112,92 - 114,58,5:4 to 5:7,Average
ernle,60,63,43,104,95 - 113,93 - 115,61,5:4 to 5:7,Average
ernle,60,63,44,104,95 - 113,93 - 115,61,5:4 to 5:7,Average
ernle,60,63,45,105,96 - 114,94 - 116,63,5:8 to 5:11,Average
ernle,60,63,46,106,97 - 115,95 - 117,66,5:8 to 5:11,Average
ernle,60,63,47,107,98 - 116,96 - 118,68,5:8 to 5:11,Average
ernle,60,63,48,108,99 - 117,97 - 119,70,5:8 to 5:11,Average
ernle,60,63,49,109,100 - 118,98 - 120,73,5:8 to 5:11,Average
ernle,60,63,50,110,101 - 119,99 - 121,75,5:8 to 5:11,Above Average
ernle,60,63,51,111,102 - 120,100 - 122,77,6:0 to 6:5,Above Average
ernle,60,63,52,111,102 - 120,100 - 122,77,6:0 to 6:5,Above Average
ernle,60,63,53,112,103 - 121,101 - 123,79,6:0 to 6:5,Above Average
ernle,60,63,54,113,104 - 122,102 - 124,81,6:0 to 6:5,Above Average
ernle,60,63,55,114,105 - 123,103 - 125,82,6:0 to 6:5,Above Average
ernle,60,63,56,115,106 - 124,104 - 126,84,6:0 to 6:5,Above Average
ernle,60,63,57,116,107 - 125,105 - 127,86,6:6 to 6:11,Above Average
ernle,60,63,58,117,108 - 126,106 - 128,87,6:6 to 6:11,Above Average
ernle,60,63,59,118,109 - 127,107 - 129,88,6:6 to 6:11,Above Average
ernle,60,63,60,118,109 - 127,107 - 129,88,6:6 to 6:11,Above Average
ernle,60,63,61,119,110 - 128,108 - 130,90,6:6 to 6:11,Above Average
ernle,60,63,62,120,111 - 129,109 - 130,91,6:6 to 6:11,Well Above Average
ernle,60,63,63,121,112 - 130,110 - 130,92,6:6 to 6:11,Well Above Average
ernle,60,63,64,122,113 - 130,111 - 130,93,6:6 to 6:11,Well Above Average
ernle,60,63,65,123,114 - 130,112 - 130,94,6:6 to 6:11,Well Above Average
ernle,60,63,66,124,115 - 130,113 - 130,95,7:0 to 7:5,Well Above Average
ernle,60,63,67,125,116 - 130,114 - 130,95,7:0 to 7:5,Well Above Average
ernle,60,63,68,126,117 - 130,115 - 130,96,7:0 to 7:5,Well Above Average
ernle,60,63,69,126,117 - 130,115 - 130,96,7:0 to 7:5,Well Above Average
ernle,60,63,70,127,118 - 130,116 - 130,96,7:0 to 7:5,Well Above Average
ernle,60,63,71,128,119 - 130,117 - 130,97,7:0 to 7:5,Well Above Average
ernle,60,63,72,129,120 - 130,118 - 130,97,7:0 to 7:5,Well Above Average
ernle,60,63,73,130,121 - 130,119 - 130,98,7:0 to 7:5,Well Above Average
ernle,60,63,74,130,121 - 130,119 - 130,98,7:6 to 7:11,Well Above Average
ernle,60,63,75,130,121 - 130,119 - 130,98,7:6 to 7:11,Well Above Average
ernle,60,63,76,130,121 - 130,119 - 130,98,7:6 to 7:11,Well Above Average
ernle,60,63,77,130,121 - 130,119 - 130,98,7:6 to 7:11,Well Above Average
ernle,60,63,78,130,121 - 130,119 - 130,98,7:6 to 7:11,Well Above Average
ernle,60,63,79,130,121 - 130,119 - 130,98,7:6 to 7:11,Well Above Average
ernle,60,63,80,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,81,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,82,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,83,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,84,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,85,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,86,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,87,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,88,130,121 - 130,119 - 130,98,8:0 to 8:5,Well Above Average
ernle,60,63,89,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,90,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,91,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,92,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,93,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,94,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,95,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,96,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,97,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,98,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,99,130,121 - 130,119 - 130,98,8:6 to 9:3,Well Above Average
ernle,60,63,100,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,101,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,102,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,103,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,104,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,105,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,106,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,107,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,108,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,109,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,110,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,111,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,112,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,113,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,114,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,115,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,116,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,117,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,118,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,119,130,121 - 130,119 - 130,98,> stop age,Well Above Average
ernle,60,63,120,130,121 - 130,119 - 130,98,> stop age,Well Above Average
