norm_group,score,raw,ss,CI90,CI95,percentile,desc_range,prob
age,rfw,205,103,93 - 113,91 - 115,58,Average,Low to Moderate Probability of Dyslexia
age,rfw,206,103,93 - 113,91 - 115,58,Average,Low to Moderate Probability of Dyslexia
age,rfw,207,104,94 - 114,92 - 116,61,Average,Low to Moderate Probability of Dyslexia
age,rfw,208,104,94 - 114,92 - 116,61,Average,Low to Moderate Probability of Dyslexia
age,rfw,209,105,95 - 115,93 - 117,63,Average,Low to Moderate Probability of Dyslexia
age,rfw,210,106,96 - 116,94 - 118,66,Average,Low to Moderate Probability of Dyslexia
age,rfw,211,107,97 - 117,95 - 119,68,Average,Low to Moderate Probability of Dyslexia
age,rfw,212,107,97 - 117,95 - 119,68,Average,Low to Moderate Probability of Dyslexia
age,rfw,213,107,97 - 117,95 - 119,68,Average,Low to Moderate Probability of Dyslexia
age,rfw,214,107,97 - 117,95 - 119,68,Average,Low to Moderate Probability of Dyslexia
age,rfw,215,107,97 - 117,95 - 119,68,Average,Low to Moderate Probability of Dyslexia
age,rfw,216,108,98 - 118,96 - 120,70,Average,Low to Moderate Probability of Dyslexia
age,rfw,217,108,98 - 118,96 - 120,70,Average,Low to Moderate Probability of Dyslexia
age,rfw,218,109,99 - 119,97 - 121,73,Average,Low to Moderate Probability of Dyslexia
age,rfw,219,109,99 - 119,97 - 121,73,Average,Low to Moderate Probability of Dyslexia
age,rfw,220,109,99 - 119,97 - 121,73,Average,Low to Moderate Probability of Dyslexia
age,rfw,221,110,100 - 120,98 - 122,75,Above Average,Very Low Probability of Dyslexia
age,rfw,222,110,100 - 120,98 - 122,75,Above Average,Very Low Probability of Dyslexia
age,rfw,223,111,101 - 121,99 - 123,77,Above Average,Very Low Probability of Dyslexia
age,rfw,224,112,102 - 122,100 - 124,79,Above Average,Very Low Probability of Dyslexia
age,rfw,225,113,103 - 123,101 - 125,81,Above Average,Very Low Probability of Dyslexia
age,rfw,226,114,104 - 124,102 - 126,82,Above Average,Very Low Probability of Dyslexia
age,rfw,227,115,105 - 125,103 - 127,84,Above Average,Very Low Probability of Dyslexia
age,rfw,228,115,105 - 125,103 - 127,84,Above Average,Very Low Probability of Dyslexia
age,rfw,229,115,105 - 125,103 - 127,84,Above Average,Very Low Probability of Dyslexia
age,rfw,230,116,106 - 126,104 - 128,86,Above Average,Very Low Probability of Dyslexia
age,rfw,231,117,107 - 127,105 - 129,87,Above Average,Very Low Probability of Dyslexia
age,rfw,232,119,109 - 129,107 - 130,90,Above Average,Very Low Probability of Dyslexia
age,rfw,233,119,109 - 129,107 - 130,90,Above Average,Very Low Probability of Dyslexia
age,rfw,234,119,109 - 129,107 - 130,90,Above Average,Very Low Probability of Dyslexia
age,rfw,235,120,110 - 130,108 - 130,91,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,236,121,111 - 130,109 - 130,92,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,237,121,111 - 130,109 - 130,92,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,238,123,113 - 130,111 - 130,94,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,239,124,114 - 130,112 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,240,124,114 - 130,112 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,241,124,114 - 130,112 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,242,124,114 - 130,112 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,243,124,114 - 130,112 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,244,124,114 - 130,112 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,245,124,114 - 130,112 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,246,126,116 - 130,114 - 130,96,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,247,126,116 - 130,114 - 130,96,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,248,128,118 - 130,116 - 130,97,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,249,128,118 - 130,116 - 130,97,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,250,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,251,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,252,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,253,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,254,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,255,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,256,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,257,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,258,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,259,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfw,260,130,120 - 130,118 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,80,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,81,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,82,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,83,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,84,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,85,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,86,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,87,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,88,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,89,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,90,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,91,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,92,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,93,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,94,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,95,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,96,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,97,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,98,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,99,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,100,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,101,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,102,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,103,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,104,61,54 - 68,53 - 69,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,105,62,55 - 69,54 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,106,62,55 - 69,54 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,107,62,55 - 69,54 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,108,63,56 - 70,55 - 71,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,109,63,56 - 70,55 - 71,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,110,64,57 - 71,56 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,111,64,57 - 71,56 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,112,64,57 - 71,56 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,113,64,57 - 71,56 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,114,65,58 - 72,57 - 73,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,115,65,58 - 72,57 - 73,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,116,65,58 - 72,57 - 73,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,117,66,59 - 73,58 - 74,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,118,66,59 - 73,58 - 74,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,119,66,59 - 73,58 - 74,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,120,66,59 - 73,58 - 74,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,121,66,59 - 73,58 - 74,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,122,67,60 - 74,59 - 75,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,123,67,60 - 74,59 - 75,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,124,68,61 - 75,60 - 76,2,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,125,68,61 - 75,60 - 76,2,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,126,68,61 - 75,60 - 76,2,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,127,69,62 - 76,61 - 77,2,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,128,69,62 - 76,61 - 77,2,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,129,69,62 - 76,61 - 77,2,Significantly Below Average,Extremely High Probability of Dyslexia
age,rfq,130,70,63 - 77,62 - 78,2,Well Below Average,Very High Probability of Dyslexia
age,rfq,131,70,63 - 77,62 - 78,2,Well Below Average,Very High Probability of Dyslexia
age,rfq,132,70,63 - 77,62 - 78,2,Well Below Average,Very High Probability of Dyslexia
age,rfq,133,71,64 - 78,63 - 79,3,Well Below Average,Very High Probability of Dyslexia
age,rfq,134,71,64 - 78,63 - 79,3,Well Below Average,Very High Probability of Dyslexia
age,rfq,135,71,64 - 78,63 - 79,3,Well Below Average,Very High Probability of Dyslexia
age,rfq,136,72,65 - 79,64 - 80,3,Well Below Average,Very High Probability of Dyslexia
age,rfq,137,72,65 - 79,64 - 80,3,Well Below Average,Very High Probability of Dyslexia
age,rfq,138,72,65 - 79,64 - 80,3,Well Below Average,Very High Probability of Dyslexia
age,rfq,139,73,66 - 80,65 - 81,4,Well Below Average,Very High Probability of Dyslexia
age,rfq,140,73,66 - 80,65 - 81,4,Well Below Average,Very High Probability of Dyslexia
age,rfq,141,74,67 - 81,66 - 82,4,Well Below Average,Very High Probability of Dyslexia
age,rfq,142,74,67 - 81,66 - 82,4,Well Below Average,Very High Probability of Dyslexia
age,rfq,143,74,67 - 81,66 - 82,4,Well Below Average,Very High Probability of Dyslexia
age,rfq,144,74,67 - 81,66 - 82,4,Well Below Average,Very High Probability of Dyslexia
age,rfq,145,75,68 - 82,67 - 83,5,Well Below Average,Very High Probability of Dyslexia
age,rfq,146,75,68 - 82,67 - 83,5,Well Below Average,Very High Probability of Dyslexia
age,rfq,147,76,69 - 83,68 - 84,5,Well Below Average,Very High Probability of Dyslexia
age,rfq,148,76,69 - 83,68 - 84,5,Well Below Average,Very High Probability of Dyslexia
age,rfq,149,77,70 - 84,69 - 85,6,Well Below Average,Very High Probability of Dyslexia
age,rfq,150,77,70 - 84,69 - 85,6,Well Below Average,Very High Probability of Dyslexia
age,rfq,151,77,70 - 84,69 - 85,6,Well Below Average,Very High Probability of Dyslexia
age,rfq,152,78,71 - 85,70 - 86,7,Well Below Average,Very High Probability of Dyslexia
age,rfq,153,78,71 - 85,70 - 86,7,Well Below Average,Very High Probability of Dyslexia
age,rfq,154,79,72 - 86,71 - 87,8,Well Below Average,Very High Probability of Dyslexia
age,rfq,155,79,72 - 86,71 - 87,8,Well Below Average,Very High Probability of Dyslexia
age,rfq,156,79,72 - 86,71 - 87,8,Well Below Average,Very High Probability of Dyslexia
age,rfq,157,80,73 - 87,72 - 88,9,Below Average,High Probability of Dyslexia
age,rfq,158,80,73 - 87,72 - 88,9,Below Average,High Probability of Dyslexia
age,rfq,159,81,74 - 88,73 - 89,10,Below Average,High Probability of Dyslexia
age,rfq,160,81,74 - 88,73 - 89,10,Below Average,High Probability of Dyslexia
age,rfq,161,82,75 - 89,74 - 90,12,Below Average,High Probability of Dyslexia
age,rfq,162,82,75 - 89,74 - 90,12,Below Average,High Probability of Dyslexia
age,rfq,163,82,75 - 89,74 - 90,12,Below Average,High Probability of Dyslexia
age,rfq,164,83,76 - 90,75 - 91,13,Below Average,High Probability of Dyslexia
age,rfq,165,83,76 - 90,75 - 91,13,Below Average,High Probability of Dyslexia
age,rfq,166,84,77 - 91,76 - 92,14,Below Average,High Probability of Dyslexia
age,rfq,167,84,77 - 91,76 - 92,14,Below Average,High Probability of Dyslexia
age,rfq,168,85,78 - 92,77 - 93,16,Below Average,High Probability of Dyslexia
age,rfq,169,85,78 - 92,77 - 93,16,Below Average,High Probability of Dyslexia
age,rfq,170,85,78 - 92,77 - 93,16,Below Average,High Probability of Dyslexia
age,rfq,171,86,79 - 93,78 - 94,18,Below Average,High Probability of Dyslexia
age,rfq,172,86,79 - 93,78 - 94,18,Below Average,High Probability of Dyslexia
age,rfq,173,87,80 - 94,79 - 95,19,Below Average,High Probability of Dyslexia
age,rfq,174,87,80 - 94,79 - 95,19,Below Average,High Probability of Dyslexia
age,rfq,175,88,81 - 95,80 - 96,21,Below Average,High Probability of Dyslexia
age,rfq,176,88,81 - 95,80 - 96,21,Below Average,High Probability of Dyslexia
age,rfq,177,89,82 - 96,81 - 97,23,Below Average,High Probability of Dyslexia
age,rfq,178,89,82 - 96,81 - 97,23,Below Average,High Probability of Dyslexia
age,rfq,179,90,83 - 97,82 - 98,25,Average,Low to Moderate Probability of Dyslexia
age,rfq,180,90,83 - 97,82 - 98,25,Average,Low to Moderate Probability of Dyslexia
age,rfq,181,91,84 - 98,83 - 99,27,Average,Low to Moderate Probability of Dyslexia
age,rfq,182,91,84 - 98,83 - 99,27,Average,Low to Moderate Probability of Dyslexia
age,rfq,183,92,85 - 99,84 - 100,30,Average,Low to Moderate Probability of Dyslexia
age,rfq,184,92,85 - 99,84 - 100,30,Average,Low to Moderate Probability of Dyslexia
age,rfq,185,93,86 - 100,85 - 101,32,Average,Low to Moderate Probability of Dyslexia
age,rfq,186,93,86 - 100,85 - 101,32,Average,Low to Moderate Probability of Dyslexia
age,rfq,187,94,87 - 101,86 - 102,34,Average,Low to Moderate Probability of Dyslexia
age,rfq,188,94,87 - 101,86 - 102,34,Average,Low to Moderate Probability of Dyslexia
age,rfq,189,95,88 - 102,87 - 103,37,Average,Low to Moderate Probability of Dyslexia
age,rfq,190,95,88 - 102,87 - 103,37,Average,Low to Moderate Probability of Dyslexia
age,rfq,191,96,89 - 103,88 - 104,39,Average,Low to Moderate Probability of Dyslexia
age,rfq,192,96,89 - 103,88 - 104,39,Average,Low to Moderate Probability of Dyslexia
age,rfq,193,97,90 - 104,89 - 105,42,Average,Low to Moderate Probability of Dyslexia
age,rfq,194,97,90 - 104,89 - 105,42,Average,Low to Moderate Probability of Dyslexia
age,rfq,195,98,91 - 105,90 - 106,45,Average,Low to Moderate Probability of Dyslexia
age,rfq,196,98,91 - 105,90 - 106,45,Average,Low to Moderate Probability of Dyslexia
age,rfq,197,99,92 - 106,91 - 107,47,Average,Low to Moderate Probability of Dyslexia
age,rfq,198,99,92 - 106,91 - 107,47,Average,Low to Moderate Probability of Dyslexia
age,rfq,199,100,93 - 107,92 - 108,50,Average,Low to Moderate Probability of Dyslexia
age,rfq,200,100,93 - 107,92 - 108,50,Average,Low to Moderate Probability of Dyslexia
age,rfq,201,101,94 - 108,93 - 109,53,Average,Low to Moderate Probability of Dyslexia
age,rfq,202,102,95 - 109,94 - 110,55,Average,Low to Moderate Probability of Dyslexia
age,rfq,203,102,95 - 109,94 - 110,55,Average,Low to Moderate Probability of Dyslexia
age,rfq,204,103,96 - 110,95 - 111,58,Average,Low to Moderate Probability of Dyslexia
age,rfq,205,103,96 - 110,95 - 111,58,Average,Low to Moderate Probability of Dyslexia
age,rfq,206,104,97 - 111,96 - 112,61,Average,Low to Moderate Probability of Dyslexia
age,rfq,207,104,97 - 111,96 - 112,61,Average,Low to Moderate Probability of Dyslexia
age,rfq,208,105,98 - 112,97 - 113,63,Average,Low to Moderate Probability of Dyslexia
age,rfq,209,105,98 - 112,97 - 113,63,Average,Low to Moderate Probability of Dyslexia
age,rfq,210,106,99 - 113,98 - 114,66,Average,Low to Moderate Probability of Dyslexia
age,rfq,211,107,100 - 114,99 - 115,68,Average,Low to Moderate Probability of Dyslexia
age,rfq,212,107,100 - 114,99 - 115,68,Average,Low to Moderate Probability of Dyslexia
age,rfq,213,108,101 - 115,100 - 116,70,Average,Low to Moderate Probability of Dyslexia
age,rfq,214,108,101 - 115,100 - 116,70,Average,Low to Moderate Probability of Dyslexia
age,rfq,215,109,102 - 116,101 - 117,73,Average,Low to Moderate Probability of Dyslexia
age,rfq,216,110,103 - 117,102 - 118,75,Above Average,Very Low Probability of Dyslexia
age,rfq,217,110,103 - 117,102 - 118,75,Above Average,Very Low Probability of Dyslexia
age,rfq,218,111,104 - 118,103 - 119,77,Above Average,Very Low Probability of Dyslexia
age,rfq,219,111,104 - 118,103 - 119,77,Above Average,Very Low Probability of Dyslexia
age,rfq,220,112,105 - 119,104 - 120,79,Above Average,Very Low Probability of Dyslexia
age,rfq,221,113,106 - 120,105 - 121,81,Above Average,Very Low Probability of Dyslexia
age,rfq,222,113,106 - 120,105 - 121,81,Above Average,Very Low Probability of Dyslexia
age,rfq,223,114,107 - 121,106 - 122,82,Above Average,Very Low Probability of Dyslexia
age,rfq,224,114,107 - 121,106 - 122,82,Above Average,Very Low Probability of Dyslexia
age,rfq,225,115,108 - 122,107 - 123,84,Above Average,Very Low Probability of Dyslexia
age,rfq,226,116,109 - 123,108 - 124,86,Above Average,Very Low Probability of Dyslexia
age,rfq,227,116,109 - 123,108 - 124,86,Above Average,Very Low Probability of Dyslexia
age,rfq,228,117,110 - 124,109 - 125,87,Above Average,Very Low Probability of Dyslexia
age,rfq,229,118,111 - 125,110 - 126,88,Above Average,Very Low Probability of Dyslexia
age,rfq,230,118,111 - 125,110 - 126,88,Above Average,Very Low Probability of Dyslexia
age,rfq,231,119,112 - 126,111 - 127,90,Above Average,Very Low Probability of Dyslexia
age,rfq,232,119,112 - 126,111 - 127,90,Above Average,Very Low Probability of Dyslexia
age,rfq,233,120,113 - 127,112 - 128,91,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,234,121,114 - 128,113 - 129,92,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,235,121,114 - 128,113 - 129,92,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,236,122,115 - 129,114 - 130,93,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,237,123,116 - 130,115 - 130,94,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,238,123,116 - 130,115 - 130,94,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,239,124,117 - 130,116 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,240,125,118 - 130,117 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,241,125,118 - 130,117 - 130,95,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,242,126,119 - 130,118 - 130,96,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,243,127,120 - 130,119 - 130,96,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,244,127,120 - 130,119 - 130,96,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,245,128,121 - 130,120 - 130,97,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,246,129,122 - 130,121 - 130,97,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,247,129,122 - 130,121 - 130,97,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,248,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,249,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,250,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,251,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,252,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,253,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,254,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,255,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,256,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,257,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,258,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,259,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rfq,260,130,123 - 130,122 - 130,98,Well Above Average,Extremely Low Probability of Dyslexia
age,rcq1,80,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,81,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,82,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,83,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,84,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,85,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,86,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,87,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,88,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,89,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,90,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,91,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,92,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,93,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,94,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,95,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,96,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,97,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,98,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,99,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,100,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,101,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,102,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,103,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,104,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,105,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,106,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,107,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,108,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,109,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,110,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,111,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,112,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,113,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,114,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,115,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,116,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,117,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,118,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,119,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,120,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,121,58,53 - 63,52 - 64,0.3,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,122,61,56 - 66,55 - 67,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,123,61,56 - 66,55 - 67,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,124,61,56 - 66,55 - 67,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,125,61,56 - 66,55 - 67,0.5,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,126,62,57 - 67,56 - 68,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,127,62,57 - 67,56 - 68,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,128,62,57 - 67,56 - 68,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,129,64,59 - 69,58 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,130,64,59 - 69,58 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,131,64,59 - 69,58 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,132,64,59 - 69,58 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,133,64,59 - 69,58 - 70,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,134,66,61 - 71,60 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,135,66,61 - 71,60 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,136,66,61 - 71,60 - 72,1,Significantly Below Average,Extremely High Probability of Dyslexia
age,rcq1,137,67,62 - 72,61 - 73,1,Significantly Below Average,Extremely High Probability of Dyslexia
